Start time,Location,Time of a day,Object,Posture,Duration,Activity
10:02:21 AM,Bedroom,Morning,Hall-Bedroom door,Sitting,1428,go to bed
10:26:21 AM,Kitchen,Morning,Dishwasher,Lying,193,prepare Breakfast
11:12:22 AM,Bathroom,Morning,Hall-Bathroom door,Sitting,186,use toilet
11:15:43 AM,Toilet,Morning,Hall-Toilet door,Standing,528,take shower
11:35:57 AM,Front,Morning,Frontdoor,Lying,18992,leave house
6:21:27 AM,Bedroom,Morning,Hall-Bedroom door,Standing,7993,go to bed
8:35:04 AM,Bathroom,Morning,Hall-Bathroom door,Lying,58,use toilet
8:49:48 AM,Bathroom,Morning,Hall-Bathroom door,Standing,130,use toilet
9:25:58 AM,Kitchen,Morning,Plates cupboard,Standing,86,prepare Breakfast
9:46:55 AM,Toilet,Morning,Hall-Toilet door,Sitting,658,take shower
10:28:59 AM,Front,Morning,Frontdoor,Lying,32098,leave house
7:24:50 PM,Bathroom,Evening,Hall-Bathroom door,Standing,55,use toilet
7:33:36 PM,Kitchen,Evening,Fridge,Lying,2226,prepare Dinner
8:10:53 PM,Kitchen,Evening,Fridge,Lying,31,get drink
8:52:59 PM,Toilet,Evening,ToiletFlush,Lying,122,use toilet
9:31:58 PM,Kitchen,Evening,Freezer,Sitting,176,get drink
10:03:18 PM,Toilet,Evening,ToiletFlush,Standing,43,use toilet
10:05:36 PM,Bedroom,Evening,Hall-Bedroom door,Standing,48112,go to bed
10:02:21 AM,Bedroom,Morning,Hall-Bedroom door,Standing,1428,go to bed
